SPECTRUM - MS
FTMS + p EI Full ms [40.0000-500.0000]
Scan #: 9042
RT: 13.2624916051041
Scan Number,m/z,Intensity,Relative,Segment Number,Flags
9042 - 9387,78.0470073036372,3580.1007520237,0.0145669584650896,1,
9042 - 9387,211.059660259872,3433.38358871839,0.0139699856500714,1,
9042 - 9387,105.071019715405,3316.60230950855,0.0134948180049183,1,
9042 - 9387,89.0392252793987,3245.01781085218,0.0132035501074766,1,
9042 - 9387,93.05779654932,3234.09855963271,0.0131591211123166,1,
9042 - 9387,93.0706352576404,3188.85457025744,0.0129750292781268,1,
9042 - 9387,105.06799167814,3150.35970370658,0.0128183987358582,1,
9042 - 9387,118.077538840783,2899.97343219256,0.0117996099726337,1,
9042 - 9387,78.0475970792944,2890.75738642817,0.0117621110961604,1,
9042 - 9387,277.081018168439,2889.73323159007,0.0117579439450041,1,
9042 - 9387,43.0179440088526,2883.38664271736,0.011732120510719,1,
9042 - 9387,141.070091380942,2845.93860820467,0.0115797493901473,1,
9042 - 9387,129.070250251809,2804.62705763206,0.011411658131548,1,
9042 - 9387,79.0548963090895,2761.08089115576,0.0112344745151329,1,
9042 - 9387,65.0389123184044,2703.39142386285,0.0109997436703504,1,
9042 - 9387,163.038846493622,2690.16740509275,0.010945936879562,1,
9042 - 9387,96.0431358186248,2650.10506429709,0.0107829284910258,1,
9042 - 9387,128.062373394926,2577.47595359777,0.0104874102047554,1,
9042 - 9387,81.0705092336721,2559.29242495256,0.0104134238214465,1,
9042 - 9387,131.085696632724,2551.43075369896,0.0103814357164882,1,
9042 - 9387,51.0230559145024,2543.84378821236,0.0103505653531173,1,
9042 - 9387,95.0862511486907,2524.15138569408,0.0102704395607357,1,
9042 - 9387,415.102235474813,2503.92962558879,0.0101881598820484,1,
9042 - 9387,183.03539577572,2497.73248349182,0.0101629445270119,1,
9042 - 9387,63.0226396283825,2472.24520998996,0.0100592401677756,1,
9042 - 9387,79.0536334873189,2457.99400643704,0.0100012538973849,1,
9042 - 9387,103.042701826422,2456.64462799615,0.00999576345422036,1,
9042 - 9387,165.069483882374,2449.87668316876,0.00996822557804779,1,
9042 - 9387,152.06205205469,2376.76691760607,0.00967075157043999,1,
9042 - 9387,66.046482812458,2341.78245861159,0.00952840441420196,1,
9042 - 9387,92.0612588020977,2229.64734988465,0.00907214142484886,1,
9042 - 9387,130.065175067,2177.64550516923,0.00886055276728122,1,
9042 - 9387,43.9896445382047,2148.32095529681,0.00874123503585773,1,
9042 - 9387,102.045163924806,2033.60083097463,0.008274453958491,1,
9042 - 9387,55.0539658427279,1988.3890653356,0.00809049323844008,1,
9042 - 9387,117.057831702076,1947.08154300445,0.00792241837022483,1,
9042 - 9387,133.102038229092,1942.9893467388,0.00790576776255718,1,
9042 - 9387,104.060692171489,1940.50076650785,0.00789564205734041,1,
9042 - 9387,178.077697555429,1934.14680357152,0.00786978861896162,1,
9042 - 9387,102.047495176041,1908.97143824741,0.00776735337302267,1,
9042 - 9387,56.0622826118029,1867.83789156707,0.00759998638881823,1,
