SPECTRUM - MS
FTMS + p EI Full ms [40.0000-500.0000]
Scan #: 8748
RT: 12.9278576225655
Scan Number,m/z,Intensity,Relative,Segment Number,Flags
8748 - 8774,94.0651339770741,984888.591712482,0.362264478446959,1,
8748 - 8774,78.0338402405948,954024.462865204,0.350911948187534,1,
8748 - 8774,136.086896989673,941659.911680034,0.346363984362978,1,
8748 - 8774,106.052429776465,921100.67400447,0.338801828017096,1,
8748 - 8774,53.0385243848733,917466.572819929,0.337465122747769,1,
8748 - 8774,40.0181305460726,909416.942209099,0.334504285086068,1,
8748 - 8774,57.0572673483468,879261.13290735,0.323412290904422,1,
8748 - 8774,83.0561421097754,850101.321425,0.312686647428445,1,
8748 - 8774,69.0573278392475,771337.960229454,0.283715687459641,1,
8748 - 8774,108.055576902854,747613.148935857,0.274989160965326,1,
8748 - 8774,79.0290881402924,737446.044907628,0.271249468304557,1,
8748 - 8774,70.0650385369422,695975.482417385,0.255995649935813,1,
8748 - 8774,123.079384415429,675816.639863633,0.248580768044318,1,
8748 - 8774,58.0650935084163,653296.753361022,0.240297440359135,1,
8748 - 8774,137.094834423635,572089.477728209,0.210427552941647,1,
8748 - 8774,122.084083616568,522977.632964679,0.192363096739659,1,
8748 - 8774,55.0542510744083,491252.064143899,0.180693709218062,1,
8748 - 8774,57.0528068568308,478212.535856528,0.175897473426554,1,
8748 - 8774,82.0419673653523,429397.727712775,0.15794227406544,1,
8748 - 8774,80.0368265799628,412353.722163322,0.151673100239105,1,
8748 - 8774,44.0494406964243,406052.009340125,0.149355186590366,1,
8748 - 8774,124.094904595781,389139.878730843,0.143134519373635,1,
8748 - 8774,56.0386387702386,386447.223715426,0.142144099469286,1,
8748 - 8774,40.0307193207088,363107.317865344,0.133559149972532,1,
8748 - 8774,67.0542235460625,356434.924201589,0.131104891459505,1,
8748 - 8774,122.079090344755,345747.588704238,0.127173845803668,1,
8748 - 8774,138.102470673772,325814.032554627,0.119841829387906,1,
8748 - 8774,85.0760752044621,322086.610418611,0.118470798545009,1,
8748 - 8774,92.0495239062015,317058.71582543,0.116621424282974,1,
8748 - 8774,64.0181226570916,314036.565578001,0.11550980852015,1,
8748 - 8774,98.0748773746931,306389.949544393,0.112697208808255,1,
8748 - 8774,120.068146607046,269313.710873449,0.0990597229261711,1,
8748 - 8774,84.068155929466,259848.848164054,0.095578330632826,1,
8748 - 8774,43.0371615869974,256174.473000566,0.0942268116758395,1,
8748 - 8774,67.0290630407633,255684.074854237,0.0940464320570619,1,
8748 - 8774,65.038527643438,253110.197709991,0.0930997013617398,1,
8748 - 8774,108.063634413705,252434.894093133,0.0928513092952534,1,
8748 - 8774,51.0103052864815,246225.969712566,0.0905675253511915,1,
8748 - 8774,111.091653081604,245190.224516265,0.0901865546541002,1,
8748 - 8774,112.099410280265,232124.940888263,0.0853808454611141,1,
8748 - 8774,51.0228813064846,230369.416993564,0.0847351237485612,1,
8748 - 8774,65.025956115334,186617.709710677,0.0686422483174018,1,
8748 - 8774,135.079104858641,181221.244507368,0.0666573053819428,1,
8748 - 8774,94.0484229516045,180259.909061913,0.0663037042876761,1,
8748 - 8774,96.2898007364449,179543.349011475,0.0660401371643159,1,
8748 - 8774,42.0418890594253,175038.169164029,0.0643830293031038,1,
8748 - 8774,84.0573015579732,162480.667992732,0.0597640940745955,1,
8748 - 8774,95.8474579285181,151570.534604974,0.0557510982751105,1,
8748 - 8774,70.0480227958546,138760.008858198,0.0510390948390488,1,
8748 - 8774,66.0212635956345,137476.094313684,0.050566841797687,1,
8748 - 8774,53.0214871471112,135480.454382586,0.0498327999325555,1,
8748 - 8774,79.0416813995783,133179.261030015,0.0489863685527127,1,
8748 - 8774,52.0306973827511,123933.467636134,0.0455855549481618,1,
8748 - 8774,59.0603495625209,113049.142470357,0.0415820520011217,1,
8748 - 8774,111.087018442973,98596.2351985608,0.036265943195601,1,
8748 - 8774,55.1374627099307,91962.1816799154,0.0338257870620605,1,
8748 - 8774,98.0838876256977,80241.8414246885,0.0295147787048633,1,
8748 - 8774,105.044507774855,77176.1599039527,0.0283871511472501,1,
8748 - 8774,98.0684281008302,64328.7875228459,0.0236615946790174,1,
8748 - 8774,54.9460409658879,61671.1252021277,0.0226840458855756,1,
8748 - 8774,96.0574673609358,60658.5815729866,0.0223116092538569,1,
8748 - 8774,141.121693661071,59594.6537894613,0.0219202723586515,1,
8748 - 8774,50.0150381031219,52924.8358484957,0.0194669612551907,1,
8748 - 8774,120.063390662891,49252.0899513255,0.0181160415795012,1,
8748 - 8774,133.063591267896,48045.6262390015,0.0176722767200156,1,
8748 - 8774,125.090175248994,45838.7067902231,0.0168605214313326,1,
8748 - 8774,96.0618114037154,44833.7956701401,0.0164908922104585,1,
8748 - 8774,134.071463214259,40678.6500561739,0.0149625349207296,1,
8748 - 8774,118.052362952178,37569.4549921729,0.0138189020898408,1,
8748 - 8774,59.0492014480632,35897.6679150862,0.0132039806879165,1,
